,time (ps),x,y,z,px,py,pz,Wavelength (nm)
0,3.31874,-0.0868163,102.747,1028.03,0.0485209,0.085613,0.995146,412.4907857690099
1,3.31874,-0.137457,113.857,1139.24,-0.018906,0.0515291,0.998493,306.0113916642271
2,3.31874,-0.075288,100.218,1002.72,0.0312239,0.0595059,0.99774,375.3168301732081
3,3.31874,-0.108812,107.573,1076.33,-0.00789015,0.150396,0.988594,258.2011713633847
4,3.31874,-0.169367,120.857,1209.31,-0.00990402,0.0481003,0.998793,235.1438253552683
5,3.31874,-0.140442,114.511,1145.79,-0.00405833,0.150943,0.988534,248.68615964483882
6,3.31874,-0.102064,106.092,1061.52,0.011368,0.149032,0.988767,309.2329013876075
7,3.31874,-0.142515,114.966,1150.35,-0.0179256,0.0519516,0.998489,491.6256538260349
8,3.31874,-0.160648,118.944,1190.17,-0.0378836,0.0646326,0.99719,350.34276106281095
9,3.31874,-0.0846522,102.272,1023.28,-0.0190877,0.0520078,0.998464,369.02995903587765
10,3.31874,-0.106138,106.986,1070.46,-0.0139887,0.148429,0.988824,332.59703978791396
11,3.31874,-0.128321,111.852,1119.18,0.0193746,0.051735,0.998473,273.1020377375487
12,3.31874,-0.0926797,104.033,1040.91,0.0246032,0.143381,0.989362,397.1613660608145
13,3.31874,-0.0892854,103.289,1033.45,0.0255624,0.0554941,0.998132,350.8043509484601
14,3.31874,-0.108005,107.395,1074.56,0.0319211,0.138224,0.989886,436.3157796370981
15,3.31874,-0.140215,114.462,1145.3,-0.0503948,0.112308,0.992395,281.6279723332907
16,3.31874,-0.0849027,102.327,1023.83,-0.0205218,0.145775,0.989105,414.16646934695524
17,4.06981,-0.19798,126.797,1268.91,0.0358342,0.135481,0.990132,286.42791720599297
18,4.06981,-0.193823,125.938,1260.29,-0.0194635,0.145916,0.989106,433.31851716657826
19,4.06981,-0.207681,128.801,1289.02,0.0460252,0.120961,0.99159,299.3331633815532
20,4.06981,-0.203744,127.988,1280.86,-0.0466514,0.0773196,0.995914,360.9189386376117
21,4.32197,-0.230436,132.339,1324.61,-0.0362186,0.13514,0.990164,377.65295739384516
22,4.32197,-0.236167,133.229,1333.56,-0.0410975,0.129784,0.99069,362.50592622544247
23,4.32197,-0.269595,138.417,1385.75,0.0239389,0.053928,0.998258,313.04573695275366
24,4.32197,-0.208204,128.889,1289.9,0.0254913,0.14298,0.989397,293.3613059042073
25,4.32197,-0.222503,131.108,1312.23,0.0238679,0.143187,0.989408,403.3561790681055
26,4.32197,-0.268085,138.183,1383.39,-0.0426146,0.128351,0.990813,304.10558473089867
27,4.32197,-0.227687,131.913,1320.32,0.0509029,0.0973816,0.993945,288.9163444823086
28,4.32197,-0.222037,131.036,1311.5,0.005656,0.0485005,0.998807,391.0306830556117
29,4.32197,-0.223681,131.291,1314.07,0.0214987,0.144235,0.98931,457.5242113903937
30,4.6465,-0.539437,169.056,1692.96,0.0500355,0.107648,0.992929,282.18713670634776
31,4.6465,-0.275107,139.052,1392.12,-0.0103687,0.148866,0.988803,402.0035733303121
32,4.6465,-0.347304,147.247,1474.29,0.0499766,0.094559,0.994264,362.9958979873698
33,4.6465,-0.684647,185.538,1858.23,-0.0478485,0.0793685,0.995696,377.4105746722824
34,4.6465,-0.724833,190.1,1903.97,-0.039025,0.0649879,0.997123,321.33799563082454
35,4.6465,-0.452878,159.231,1594.44,-0.0517731,0.0952366,0.994107,364.513410833992
36,4.6465,-0.70734,188.114,1884.06,-0.0519216,0.090246,0.994565,265.4826919012343
37,4.6465,-0.495963,164.121,1643.48,0.00292841,0.0486531,0.998811,416.6671957571676
38,4.6465,-0.612075,177.301,1775.63,0.0502915,0.103863,0.993319,308.67361806864
39,4.6465,-0.394441,152.598,1527.94,-0.0246966,0.0536695,0.998253,295.0523180403424
40,4.6465,-0.301251,142.02,1421.87,-0.0409464,0.130484,0.990605,376.98858450602467
41,4.6465,-0.31311,143.366,1435.37,-0.0151611,0.0491024,0.998679,237.66068834750925
42,4.6465,-0.519192,166.758,1669.92,-0.00397824,0.150384,0.98862,282.25197145305054
43,4.6465,-0.715296,189.017,1893.12,-0.0435965,0.126452,0.991014,434.18586081304295
44,4.6465,-0.586896,174.443,1746.98,-0.0264225,0.1431,0.989355,361.38357436144435
45,4.6465,-0.391684,152.285,1524.8,0.0201138,0.146298,0.989036,262.06390630397453
46,4.6465,-0.550945,170.362,1706.06,0.00350962,0.149701,0.988725,368.0666115506905
47,4.6465,-0.688749,186.004,1862.9,0.0412264,0.127779,0.990945,372.36910054999106
48,4.6465,-0.715706,189.064,1893.58,0.0109927,0.0491546,0.998731,286.4087432439951
49,4.6465,-0.516787,166.485,1667.18,-0.0125359,0.0497278,0.998684,380.7226565743699
50,4.6465,-0.603696,176.35,1766.1,-0.0210477,0.14566,0.989111,388.2543351053617
51,4.6465,-0.483549,162.712,1629.35,0.0423308,0.126059,0.991119,377.8427154119035
52,4.6465,-0.618653,178.047,1783.12,0.0277456,0.140967,0.989625,408.5317369315696
53,4.6465,-0.586959,174.45,1747.05,-0.0507931,0.0881451,0.994812,349.9889733182917
54,4.6465,-0.594524,175.309,1755.66,0.0495908,0.104972,0.993238,431.52663701260695
55,4.6465,-0.511755,165.914,1661.46,-0.01557,0.0500727,0.998624,304.4249301035659
56,4.6465,-0.581954,173.882,1741.35,-0.00059349,0.0477939,0.998857,288.0383852033394
57,4.6465,-0.587847,174.551,1748.06,-0.0117521,0.149482,0.988695,268.23355511085066
58,4.6465,-0.371233,149.963,1501.52,0.0460051,0.0795236,0.995771,418.30370776779773
59,4.6465,-0.54848,170.082,1703.25,0.0484671,0.0863132,0.995088,377.76333886527544
60,4.6465,-0.692771,186.46,1867.48,-0.0469012,0.120426,0.991614,445.13482512955125
61,4.6465,-0.390827,152.187,1523.82,-0.0102307,0.149326,0.988735,316.3678504164086
62,4.6465,-0.308797,142.876,1430.46,-0.0328895,0.0595655,0.997682,368.46775917846634
63,4.6465,-0.612199,177.315,1775.78,0.0444293,0.12228,0.991501,391.64659408900354
64,4.6465,-0.632665,179.638,1799.07,0.0206885,0.145254,0.989178,346.19513694781756
65,4.6465,-0.725435,190.168,1904.65,0.021323,0.145983,0.989057,247.2125739927493
66,4.6465,-0.344581,146.938,1471.19,0.000946149,0.0485867,0.998819,431.3436151119794
67,4.6465,-0.317098,143.818,1439.91,-0.0104347,0.0487007,0.998759,289.9486611803985
68,4.6465,-0.726726,190.314,1906.12,0.00539252,0.149872,0.988691,307.05266659645287
69,4.6465,-0.581425,173.822,1740.75,-0.00362764,0.0484074,0.998821,369.0903357169528
70,4.6465,-0.702366,187.549,1878.4,-0.0178308,0.147775,0.98886,269.48846120105395
71,4.6465,-0.447463,158.616,1588.28,-0.0307107,0.0582031,0.997832,435.7625947359838
72,4.6465,-0.655299,182.207,1824.83,0.0463167,0.118558,0.991866,358.7058386608833
73,4.6465,-0.483308,162.685,1629.08,-0.0263201,0.14285,0.989394,436.26822110512495
74,4.6465,-0.683417,185.399,1856.83,0.0490101,0.109957,0.992727,362.07854885784826
75,4.6465,-0.494837,163.993,1642.2,0.032366,0.138003,0.989903,319.28891301607786
76,6.41502,-0.784467,199.568,1998.85,-0.0454947,0.124806,0.991138,269.6407301201141
77,6.41502,-0.76523,196.368,1966.79,0.0369668,0.13379,0.99032,336.2283404746069
78,6.79236,-0.818309,205.101,2054.29,-0.0403313,0.0678809,0.996878,480.8531888826656
79,6.79236,-0.813787,204.374,2047.0,0.0388496,0.0657543,0.997079,262.58468648170197
80,6.79236,-0.817653,204.996,2053.23,0.0504489,0.101147,0.993592,353.4968799842758
81,6.79236,-0.831746,207.263,2075.93,0.0338439,0.0618464,0.997512,380.3025565413689
82,6.99134,-0.944052,220.812,2211.83,0.0437499,0.124434,0.991263,312.61036295256235
83,6.99134,-0.944919,220.915,2212.86,-0.00227449,0.149507,0.988758,471.2539866343101
84,6.99134,-0.8959,215.093,2154.47,0.00960194,0.0491894,0.998743,336.0243709142143
